SITE2021,Site2021_2,Occupancy,HighestSig,LastSurvey,Site2021NA,SITE2021_3,Site2021_1,Occupancy2021,HighestS_1,LastSurv_1,Site2021_4,Shape_Leng,Shape_Area,TalID,ShapeInd,JulyMax,JanMin,PrcpAnn,PrcpSeas,AET,PET,CWD,HeatLoad,Elev,Slope,Rugged,TPI990m,PTalus
80,80,UNOCCUPIED,OS,2017,Site2021_80,80,80,UNOCCUPIED,OS,2017,Site2021_80,570,4750,172052,2.067607313,28.60000038,-6.639999866,283.1229858,0.408012986,252.4199982,485.2704102,232.3585999,0.875737214,1863.6,11.74323397,0.000664473,3.846834064,0.0316911
634,634,UNOCCUPIED,OH,2019,Site2021_634,634,634,UNOCCUPIED,OH,2019,Site2021_634,570,2875,282214,2.657638703,25.65999985,-8.529999733,310.1229858,0.415131986,299.6500061,480.8613953,181.3086029,0.932952392,1906.2,10.07456188,9.39607E-05,-26.07139969,0.00843413
806,806,UNOCCUPIED,OH,2015,Site2021_806,806,806,UNOCCUPIED,OH,2015,Site2021_806,570,2700,257592,2.742413779,26.59000015,-6.880000114,271.151001,0.421916008,306.7054016,503.0645935,196.3587952,0.944925404,1856.6,9.912559891,5.41091E-05,-4.173708034,0.0162622
96,96,UNOCCUPIED,OS,2017,Site2021_96,96,96,UNOCCUPIED,OS,2017,Site2021_96,580,4150,176950,2.250836525,28.23999977,-6.760000229,266.6570129,0.403593004,252.7804016,513.9226135,261.1422058,0.914485598,1838.6,14.23456001,0.000144088,9.836548042,0.0171965
472,472,OCCUPIED,FS,2021,Site2021_472,472,472,OCCUPIED,FS,2021,Site2021_472,580,2750,133669,2.765041509,27.03000069,-7.610000134,317.322998,0.416323006,256.3439941,447.6166016,191.2725952,0.823527575,1920.4,23.12012024,0.000941109,33.53502007,0.0114896
784,784,UNOCCUPIED,OH,2015,Site2021_784,784,784,UNOCCUPIED,OH,2015,Site2021_784,630,3325,254072,2.731396404,27.27000046,-6.510000229,271.9119873,0.421050012,301.1008057,480.4692078,180.2550049,0.912493217,1895.8,18.46893997,0.00019561,22.49275932,0.0160602
102,102,UNOCCUPIED,OH,2017,Site2021_102,102,102,UNOCCUPIED,OH,2017,Site2021_102,650,3975,180458,2.577417654,27.12000084,-6.960000038,281.6430054,0.389014989,319.9039917,488.45401,168.5500031,0.923215985,1844.4,22.5218605,0.000877166,-13.31478596,0.00406555
290,290,UNOCCUPIED,OH,2021,Site2021_290,290,290,UNOCCUPIED,OH,2021,Site2021_290,650,4775,112809,2.351617467,25.38999939,-6.079999924,444.493988,0.479992986,296.4100037,494.0044006,197.5944,0.962247407,2190,13.46027184,0.000670386,50.48440018,0.0316406
91,91,UNOCCUPIED,OH,2018,Site2021_91,91,91,UNOCCUPIED,OH,2018,Site2021_91,680,4650,180589,2.493000955,28.8579998,-7.390000057,271.5490112,0.405597001,248.4911987,480.9088013,232.4175964,0.847690213,1831,11.39636002,5.83291E-05,16.90137978,0.0103028
611,611,UNOCCUPIED,OS,2018,Site2021_611,611,611,UNOCCUPIED,OS,2018,Site2021_611,680,5250,262183,2.346222902,27.05999947,-7.559999943,241.8580017,0.381893992,265.5029907,505.7589966,240.2563995,0.93761121,1831.2,6.988308048,2.03133E-05,10.02129612,0.0465897
